id=13;time=2016-06-25 16:50:09;t1=17.94;t2=18.88;v=153;milli=1414;
id=13;time=2016-06-25 16:50:41;t1=18.06;t2=19.13;v=163;milli=32332;
id=13;time=2016-06-25 16:51:12;t1=18.19;t2=19.44;v=163;milli=63223;
id=13;time=2016-06-25 16:51:43;t1=18.81;t2=19.94;v=163;milli=94112;
id=13;time=2016-06-25 16:52:15;t1=19.56;t2=20.88;v=163;milli=125002;
id=13;time=2016-06-25 16:52:46;t1=19.81;t2=21.06;v=163;milli=155892;
id=13;time=2016-06-25 16:53:18;t1=19.88;t2=21.13;v=163;milli=186784;
id=13;time=2016-06-25 16:53:49;t1=19.94;t2=21.06;v=163;milli=217675;
id=13;time=2016-06-25 16:54:20;t1=19.94;t2=21.00;v=163;milli=248570;
id=13;time=2016-06-25 16:54:52;t1=19.94;t2=20.88;v=163;milli=279462;
id=13;time=2016-06-25 16:55:23;t1=20.00;t2=20.81;v=163;milli=310353;
id=13;time=2016-06-25 16:55:55;t1=20.13;t2=20.75;v=163;milli=341244;
id=13;time=2016-06-25 16:56:26;t1=20.25;t2=20.69;v=163;milli=372133;
id=13;time=2016-06-25 16:56:58;t1=20.44;t2=20.63;v=163;milli=403025;
id=13;time=2016-06-25 16:57:29;t1=20.56;t2=20.63;v=163;milli=433916;
id=13;time=2016-06-25 16:58:00;t1=20.63;t2=20.44;v=163;milli=464811;
id=13;time=2016-06-25 16:58:32;t1=20.69;t2=20.38;v=163;milli=495702;
id=13;time=2016-06-25 16:59:03;t1=20.69;t2=20.25;v=163;milli=526594;
id=13;time=2016-06-25 16:59:35;t1=20.63;t2=20.13;v=163;milli=557484;
id=13;time=2016-06-25 17:00:06;t1=20.63;t2=20.06;v=163;milli=588374;
id=13;time=2016-06-25 17:00:37;t1=20.63;t2=19.94;v=163;milli=619265;
id=13;time=2016-06-25 17:01:09;t1=20.56;t2=19.81;v=163;milli=650157;
id=13;time=2016-06-25 17:01:40;t1=20.50;t2=19.75;v=163;milli=681047;
id=13;time=2016-06-25 17:02:12;t1=20.50;t2=19.63;v=163;milli=711943;
id=13;time=2016-06-25 17:02:43;t1=20.44;t2=19.50;v=163;milli=742834;
id=13;time=2016-06-25 17:03:15;t1=20.38;t2=19.38;v=163;milli=773725;
id=13;time=2016-06-25 17:03:46;t1=20.38;t2=19.25;v=163;milli=804614;
id=13;time=2016-06-25 17:04:17;t1=20.38;t2=19.19;v=163;milli=835506;
id=13;time=2016-06-25 17:04:49;t1=20.25;t2=19.13;v=163;milli=866397;
id=13;time=2016-06-25 17:05:20;t1=20.25;t2=19.13;v=163;milli=897288;
id=13;time=2016-06-25 17:05:52;t1=20.25;t2=19.13;v=163;milli=928183;
id=13;time=2016-06-25 17:06:23;t1=20.25;t2=19.00;v=163;milli=959075;
id=13;time=2016-06-25 17:06:54;t1=20.31;t2=18.88;v=163;milli=989965;
id=13;time=2016-06-25 17:07:26;t1=20.31;t2=18.88;v=163;milli=1020856;
id=13;time=2016-06-25 17:07:57;t1=20.25;t2=19.00;v=163;milli=1051748;
id=13;time=2016-06-25 17:08:29;t1=20.19;t2=19.06;v=163;milli=1082641;
id=13;time=2016-06-25 17:09:00;t1=20.13;t2=19.19;v=163;milli=1113533;
id=13;time=2016-06-25 17:09:32;t1=20.19;t2=19.38;v=163;milli=1144429;
id=13;time=2016-06-25 17:10:03;t1=20.13;t2=19.56;v=163;milli=1175322;
id=13;time=2016-06-25 17:10:34;t1=20.06;t2=19.63;v=163;milli=1206213;
id=13;time=2016-06-25 17:11:06;t1=20.06;t2=19.69;v=163;milli=1237104;
id=13;time=2016-06-25 17:11:37;t1=20.13;t2=19.69;v=163;milli=1267996;
id=13;time=2016-06-25 17:12:09;t1=20.13;t2=19.81;v=163;milli=1298889;
id=13;time=2016-06-25 17:12:40;t1=20.13;t2=19.81;v=163;milli=1329780;
id=13;time=2016-06-25 17:13:11;t1=20.19;t2=19.88;v=163;milli=1360677;
